,id,screen_name,follower_count,friend_count
0,40090727,ChiaraFerragni,273723,153
1,20298371,AIMEESONG,62329,359
2,16252512,wendynguyen,51012,378
3,157994424,Kayture,36128,493
4,90963591,SincerelyJules,56582,436
5,22830044,rumineely,122310,304
6,112700733,garypeppergirl,34180,829
7,282389552,GalMeetsGlam,36106,1142
8,165572420,BlairEadieBEE,52657,313
9,54859060,BettyAutier,124774,146
0,19212009,WhoWhatWear,2101444,1594
1,228379737,thecoveteur,155119,2766
2,64822927,sea_of_shoes,101586,570
3,17475920,BagSnob,165187,888
4,21190774,tuulavintage,38864,415
5,17809182,MattiasSwenson,8124,119
6,90963591,SincerelyJules,56593,436
7,24190981,TeenVogue,2588637,2819
8,73359920,MaisonValentino,1656069,975
9,15090453,gerihirsch,16550,384
10,16271952,RebeccaMinkoff,764630,2667
11,437086963,31philliplim,64710,373
12,109702885,marcjacobs,5985153,1529
13,16945578,garancedore,498177,161
14,35443315,stylescrapbook,70149,545
15,20779908,carolinaengman,42171,107
16,22582248,parkncube,14841,1643
17,136361303,voguemagazine,10926070,534
18,18307364,shopbop,213849,903
19,20298371,AIMEESONG,62365,359
